row_index,NCT,Trial name,Type of therapy,Monotherapy/combination
1,NCT02425891,IMpassion130,Combination,Combination
2,NCT02685059,GeparNuevo,Combination,Combination
3,NCT01042379,I-SPY2,Combination,Combination
4,NCT02425891,IMpassion130,Combination,Combination
5,NCT03036488,KEYNOTE-522,Combination,Combination
6,NCT03051659,,Combination,Combination
7,NCT02819518,MK-3475/Keynote-355,Combination,Combination
8,NCT03197935,IMpassion031,Combination,Combination
9,NCT02924883,KATE2,Combination,Combination
10,NCT02299999,SAFIR02-BREAST IMMUNO,Monotherapy,Monotherapy
11,NCT02555657,Keynote-119,Monotherapy,Monotherapy
