row_index,Type of therapy,Monotherapy/combination
1,Combination,Combination
2,Monotherapy,Monotherapy
3,Combination,Combination
4,Monotherapy,Monotherapy
5,Monotherapy,Monotherapy
6,Monotherapy,Monotherapy
7,Monotherapy,Monotherapy
8,Monotherapy,Monotherapy
9,Monotherapy,Monotherapy
10,Monotherapy,Monotherapy
11,Monotherapy,Monotherapy
12,Monotherapy,Monotherapy
13,Combination,Combination
14,Monotherapy,Monotherapy
15,Monotherapy,Monotherapy
16,Monotherapy,Monotherapy
17,Monotherapy,Monotherapy
18,Monotherapy,Monotherapy
19,Combination,Combination
20,Combination,Combination
21,Monotherapy,Monotherapy
22,Combination,Combination
23,Monotherapy,Monotherapy
24,Combination,Combination
25,Monotherapy,Monotherapy
26,Monotherapy,Monotherapy
