row_index,NCT,PubMed ID,Trial name,source_value,maturity,derived_expected_llm_response
1,NCT02425891,30345906,IMpassion130,12.9,immature,"{""maturity"": ""immature""}"
2,NCT02685059,31095287,GeparNuevo,,unknown,"{""maturity"": ""unknown""}"
3,NCT01042379,32053137,I-SPY2,,unknown,"{""maturity"": ""unknown""}"
4,NCT02425891,31786121,IMpassion130,,unknown,"{""maturity"": ""unknown""}"
5,NCT03036488,32101663,KEYNOTE-522,15.5,immature,"{""maturity"": ""immature""}"
6,NCT03051659,32880602,,10.5,immature,"{""maturity"": ""immature""}"
7,NCT02819518,33278935,MK-3475/Keynote-355,,unknown,"{""maturity"": ""unknown""}"
8,NCT03197935,32966830,IMpassion031,,unknown,"{""maturity"": ""unknown""}"
9,NCT02924883,33002436,KATE2,,unknown,"{""maturity"": ""unknown""}"
10,NCT02299999,33462450,SAFIR02-BREAST IMMUNO,19.7,immature,"{""maturity"": ""immature""}"
11,NCT02555657,33676601,Keynote-119,31.4,mature,"{""maturity"": ""mature""}"
