natural_language_query,sql_query,column_used,expected_llm_response,expected_llm_response_key_column_match,expected_llm_response_value_column_candidates,ground_truth_column,ground_truth_selection_details,final_column,Table or Retrieval
"For Atezolizumab trials in Phase 3, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Secondary endpoint""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Secondary endpoint"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'No' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Atezolizumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Secondary endpoint,"{""endpoint_role"": ""secondary""}",,,no_match,"{""Included in MA"": ""No"", ""Name of ICI"": ""Atezolizumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Pembrolizumab trials using ICI+Chemo included in the meta-analysis, list additional agents in the treatment regimen beyond the ICI.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Treatment regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Monotherapy/combination"", '')) = 'Combination' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Pembrolizumab' AND TRIM(COALESCE(""Type of combination"", '')) = 'ICI+Chemo';",Treatment regimen,"{""added_agents"": [""pemetrexed"", ""carboplatin""]}",,,no_match,"{""Included in MA"": ""Yes"", ""Monotherapy/combination"": ""Combination"", ""Name of ICI"": ""Pembrolizumab"", ""Type of combination"": ""ICI+Chemo""}",no_match,Table
"For Atezolizumab trials in Phase 3, construct a PubMed URL from the PubMed ID.","SELECT ""PubMed ID""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""PubMed ID"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'No' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Atezolizumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",PubMed ID,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31003911/""}",,,no_match,"{""Included in MA"": ""No"", ""Name of ICI"": ""Atezolizumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Atezolizumab trials in Phase 3, for composite or co-primary endpoints, list the individual components from the primary endpoint text.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Primary endpoint"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'No' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Atezolizumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Primary endpoint,"{""components"": [""OS""]}",,,no_match,"{""Included in MA"": ""No"", ""Name of ICI"": ""Atezolizumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Atezolizumab trials in Phase 3, bucket the publication year into: ≤2014, 2015–2018, ≥2019.","SELECT ""Year""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Year"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'No' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Atezolizumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Year,"{""era"": ""≥2019""}",,,no_match,"{""Included in MA"": ""No"", ""Name of ICI"": ""Atezolizumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Atezolizumab trials in Phase 3, bucket total sample size as small(<100), medium(100–299), or large(≥300).","SELECT ""Total sample size""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Total sample size"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'No' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Atezolizumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Total sample size,"{""size_bucket"": ""large""}",,,no_match,"{""Included in MA"": ""No"", ""Name of ICI"": ""Atezolizumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Atezolizumab trials in Phase 3, interpret the PD-L1 requirement flag as boolean true/false.","SELECT ""Is PD-L1 positivity inclusion criteria""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Is PD-L1 positivity inclusion criteria"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'No' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Atezolizumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Is PD-L1 positivity inclusion criteria,"{""pd_l1_required"": false}",,,no_match,"{""Included in MA"": ""No"", ""Name of ICI"": ""Atezolizumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Atezolizumab trials in Phase 3, categorize number of arms as 1-arm, 2-arm, or ≥3-arm.","SELECT ""Number of arms""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Number of arms"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'No' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Atezolizumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Number of arms,"{""arm_category"": ""≥3-arm""}",,,no_match,"{""Included in MA"": ""No"", ""Name of ICI"": ""Atezolizumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Atezolizumab trials in Phase 3, classify the control arm as active, placebo, or best supportive care.","SELECT ""Control arm""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Control arm"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'No' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Atezolizumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Control arm,"{""control_category"": ""active""}",,,no_match,"{""Included in MA"": ""No"", ""Name of ICI"": ""Atezolizumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Atezolizumab trials in Phase 3, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed.","SELECT ""Secondary endpoint""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Secondary endpoint"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'No' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Atezolizumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Secondary endpoint,"{""irAE_assessed"": false}",,,no_match,"{""Included in MA"": ""No"", ""Name of ICI"": ""Atezolizumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Atezolizumab trials in Phase 3, convert 'Original/Follow up' status into a boolean is_follow_up.","SELECT ""Originial publication or Follow-up""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Originial publication or Follow-up"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'No' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Atezolizumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Originial publication or Follow-up,"{""is_follow_up"": false}",,,no_match,"{""Included in MA"": ""No"", ""Name of ICI"": ""Atezolizumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
