row_index,NCT,PubMed ID,Trial name,source_value,arm_category,derived_expected_llm_response,table_row_id
1,NCT00527735,22547592,,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",23
2,NCT00527735,22547592,,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",24
3,NCT01673867,26412456,Checkmate 057,2,2-arm,"{""arm_category"": ""2-arm""}",27
4,NCT01642004,26028407,Checkmate 017,2,2-arm,"{""arm_category"": ""2-arm""}",28
5,NCT01905657,26712084,Keynote-010,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",29
6,NCT01905657,26712084,Keynote-010,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",30
7,NCT01903993,26970723,POPLAR,2,2-arm,"{""arm_category"": ""2-arm""}",31
8,NCT02041533,28636851,Checkmate 026,2,2-arm,"{""arm_category"": ""2-arm""}",33
9,NCT01285609,28854067,,2,2-arm,"{""arm_category"": ""2-arm""}",34
10,NCT02125461,28885881,PACIFIC,2,2-arm,"{""arm_category"": ""2-arm""}",35
11,NCT02125461,30280658,PACIFIC,2,2-arm,"{""arm_category"": ""2-arm""}",36
12,NCT02395172,30262187,JAVELIN Lung 200,2,2-arm,"{""arm_category"": ""2-arm""}",37
13,NCT02039674,27745820,Keynote-021,2,2-arm,"{""arm_category"": ""2-arm""}",38
14,NCT02039674,30138764,Keynote-021,2,2-arm,"{""arm_category"": ""2-arm""}",39
15,NCT02008227,27979383,OAK,2,2-arm,"{""arm_category"": ""2-arm""}",40
16,NCT02008227,29777823,OAK,2,2-arm,"{""arm_category"": ""2-arm""}",41
17,NCT02578680,29658856,Keynote-189,2,2-arm,"{""arm_category"": ""2-arm""}",42
18,NCT02775435,30280635,Keynote-407,2,2-arm,"{""arm_category"": ""2-arm""}",44
19,NCT02366143,29863955,IMPower150,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",45
20,NCT02366143,29863955,IMPower150,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",46
21,NCT02477826,29658845,Checkmate 227,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",47
22,NCT02477826,29658845,Checkmate 227,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",48
23,NCT02477826,31562796,Checkmate 227,4,≥3-arm,"{""arm_category"": ""≥3-arm""}",49
24,NCT02477826,31562796,Checkmate 227,4,≥3-arm,"{""arm_category"": ""≥3-arm""}",50
25,NCT02477826,31562796,Checkmate 227,4,≥3-arm,"{""arm_category"": ""≥3-arm""}",51
26,NCT02220894,30955977,Keynote-042,2,2-arm,"{""arm_category"": ""2-arm""}",52
27,NCT02142738,30620668,Keynote-024,2,2-arm,"{""arm_category"": ""2-arm""}",54
28,NCT02367781,31122901,IMpower130,2,2-arm,"{""arm_category"": ""2-arm""}",55
29,NCT02613507,30659987,Checkmate 078,2,2-arm,"{""arm_category"": ""2-arm""}",56
30,NCT02454933,30763730,CAURAL,2,2-arm,"{""arm_category"": ""2-arm""}",57
31,NCT02352948,32201234,ARCTIC,4,≥3-arm,"{""arm_category"": ""≥3-arm""}",89
32,NCT02352948,32201234,ARCTIC,4,≥3-arm,"{""arm_category"": ""≥3-arm""}",90
33,NCT02352948,32201234,ARCTIC,4,≥3-arm,"{""arm_category"": ""≥3-arm""}",91
34,NCT02453282,32271377,MYSTIC,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",99
35,NCT02453282,32271377,MYSTIC,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",100
36,NCT02367794,32302702,IMpower131,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",102
37,NCT02367794,32302702,IMpower131,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",103
38,NCT02574598,32271354,PROLUNG,2,2-arm,"{""arm_category"": ""2-arm""}",113
39,NCT02142738,27718847,Keynote-024,2,2-arm,"{""arm_category"": ""2-arm""}",116
40,NCT02409342,32997907,IMpower110,2,2-arm,"{""arm_category"": ""2-arm""}",129
41,NCT01903993,33166718,POPLAR,2,2-arm,"{""arm_category"": ""2-arm""}",143
42,NCT02008227,33166718,OAK,2,2-arm,"{""arm_category"": ""2-arm""}",144
43,NCT03215706,33476593,CheckMate 9LA,2,2-arm,"{""arm_category"": ""2-arm""}",146
44,NCT03088540,33581821,EMPOWER-Lung 1,2,2-arm,"{""arm_category"": ""2-arm""}",155
45,NCT02852083, 33796020,ModuLung,2,2-arm,"{""arm_category"": ""2-arm""}",156
