item_id,csv_row_number,question,column_used,expected_keys_json,question_dir,ground_truth_row_count
row_2,2,"In Small Cell Lung trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.",Name of ICI,"[""class""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/class__row_2__In_Small_Cell_Lung_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_P,14
row_3,3,"In Esophageal/GEJ trials, convert 'Original/Follow up' status into a boolean is_follow_up.",Originial publication or Follow-up,"[""is_follow_up""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_follow_up__row_3__In_Esophageal_GEJ_trials_convert_Original_Follow_up_status_into_a_boolean_is_follow_up,2
row_4,4,"In Prostate trials, convert 'Type of therapy' into is_combination = true/false.",Type of therapy,"[""is_combination""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_combination__row_4__In_Prostate_trials_convert_Type_of_therapy_into_is_combination_true_false,3
row_8,8,"For Atezolizumab trials, bucket the publication year into: ≤2014, 2015–2018, ≥2019.",Year,"[""era""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/era__row_8__For_Atezolizumab_trials_bucket_the_publication_year_into_2014_2015_2018_2019,30
row_14,14,"For Durvalumab, Tremelimumab trials in Head and Neck, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).",Trial name,"[""trial_acronym""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/trial_acronym__row_14__For_Durvalumab_Tremelimumab_trials_in_Head_and_Neck_extract_the_trial_acronym_from_the_tri,1
row_16,16,"In Head and Neck trials, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed.",Secondary endpoint,"[""irAE_assessed""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/irAE_assessed__row_16__In_Head_and_Neck_trials_from_the_secondary_endpoint_text_flag_if_immune_related_adverse_ev,9
row_20,20,"In Mesothelioma trials, categorize number of arms as 1-arm, 2-arm, or ≥3-arm.",Number of arms,"[""arm_category""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/arm_category__row_20__In_Mesothelioma_trials_categorize_number_of_arms_as_1_arm_2_arm_or_3_arm,3
row_23,23,"In Hodgkin Lymphoma trials, normalize the clinical setting to one of: neoadjuvant, adjuvant, perioperative, metastatic/advanced.",Clinical setting,"[""setting_normalized""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/setting_normalized__row_23__In_Hodgkin_Lymphoma_trials_normalize_the_clinical_setting_to_one_of_neoadjuvant_adjuvant_p,1
row_24,24,"In NSCLC trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.",Control regimen,"[""control_drugs""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_drugs__row_24__In_NSCLC_trials_with_chemotherapy_control_list_the_specific_cytotoxic_drugs_from_the_contr,1
row_25,25,"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.",Secondary endpoint,"[""endpoint_role""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/endpoint_role__row_25__In_Melanoma_trials_determine_whether_the_listed_endpoint_is_primary_or_secondary_based_on,26
